Word,Value,Alternative,Word.on..0.left..1.right.,Crit_Reg,Condition,Item,acc,RT,Total.time.to.correct.answer,Subject
12,建议。,辐射。,1,NA,filler,31,1,777,777,1
0,柳树,xxx,0,7,c,10,1,1296,1296,1
1,下,打,0,7,c,10,1,648,648,1
2,的,可,1,7,c,10,1,846,846,1
3,游客,免除,0,7,c,10,1,784,784,1
4,仅仅,仪器,0,7,c,10,1,1683,1683,1
5,有,你,0,7,c,10,1,565,565,1
6,五六棵，,慢吞吞，,1,7,c,10,1,2279,2279,1
7,其余的,邀请赛,0,7,c,10,1,634,634,1
8,全部,困难,0,7,c,10,1,529,529,1
9,都在,憔悴,0,7,c,10,1,736,736,1
10,山脚下。,乒乓球。,0,7,c,10,1,784,784,1
0,响彻云霄,xxx,0,NA,filler,44,1,528,528,1
1,的,湖,1,NA,filler,44,1,672,672,1
2,炮响,权益,1,NA,filler,44,1,768,768,1
3,接连,杏仙,1,NA,filler,44,1,785,785,1
4,有,山,1,NA,filler,44,1,574,574,1
5,好几声，,饲养员，,1,NA,filler,44,1,711,711,1
6,周围,综合,1,NA,filler,44,1,1603,1603,1
7,的,开,1,NA,filler,44,1,549,549,1
8,人们,必须,0,NA,filler,44,1,466,466,1
9,都,香,1,NA,filler,44,1,673,673,1
10,惊慌失措。,逻辑思维。,0,NA,filler,44,1,829,829,1
0,巨浪,xxx,0,7,b,21,1,492,492,1
1,击中,桃子,0,7,b,21,1,608,608,1
2,的,雪,1,7,b,21,1,843,843,1
3,货轮,炎热,1,7,b,21,1,1125,1125,1
4,竟然,蚂蚁,0,7,b,21,1,898,898,1
5,有,谁,1,7,b,21,1,520,520,1
6,三艘，,挑剔，,0,7,b,21,1,598,598,1
7,官方,牢牢,1,7,b,21,1,1408,1408,1
8,下令,羽毛,1,7,b,21,1,723,723,1
9,立即,感觉,1,7,b,21,1,638,638,1
10,停止,玻璃,1,7,b,21,1,865,865,1
11,出海,咕咕,0,7,b,21,1,711,711,1
12,行程。,凶狠。,0,7,b,21,1,1144,1144,1
0,山顶,xxx,0,NA,filler,26,1,727,727,1
1,上,面,0,NA,filler,26,1,2105,2105,1
2,的,字,1,NA,filler,26,1,567,567,1
3,壁画,偏偏,0,NA,filler,26,1,2306,2306,1
4,合计,癌症,1,NA,filler,26,1,648,648,1
5,有,不,0,NA,filler,26,1,405,405,1
6,十三个，,冰淇淋，,0,NA,filler,26,1,472,472,1
7,很多,改革,1,NA,filler,26,1,720,720,1
8,外地人,晚宴后,1,NA,filler,26,1,977,977,1
9,慕名,甘蔗,0,NA,filler,26,1,569,569,1
10,来参观。,想知道。,0,NA,filler,26,1,632,632,1
0,濒临,xxx,0,NA,filler,41,1,511,511,1
1,倒闭,珊瑚,0,NA,filler,41,1,659,659,1
2,的,对,1,NA,filler,41,1,594,594,1
3,公司,广泛,1,NA,filler,41,1,677,677,1
4,这栋楼,山海关,0,NA,filler,41,1,1055,1055,1
5,里,与,0,NA,filler,41,1,743,743,1
6,已经,影响,0,NA,filler,41,1,911,911,1
7,有,种,1,NA,filler,41,0,377,2916,1
8,好几家，,加拿大，,1,NA,filler,41,1,878,878,1
9,毕竟,繁殖,1,NA,filler,41,1,797,797,1
10,最近,命令,1,NA,filler,41,1,906,906,1
11,经济,必须,1,NA,filler,41,1,2032,2032,1
12,不景气。,责骂了。,0,NA,filler,41,1,769,769,1
0,葡萄,xxx,0,8,c,2,1,681,681,1
1,里,嘿,1,8,c,2,1,609,609,1
2,混着,障碍,0,8,c,2,1,664,664,1
3,的,也,1,8,c,2,1,943,943,1
4,小虫子,驾驶员,1,8,c,2,1,721,721,1
5,至少,秩序,0,8,c,2,1,607,607,1
6,有,你,1,8,c,2,1,577,577,1
7,十几颗，,打架了，,0,8,c,2,1,638,638,1
8,买家,艰难,1,8,c,2,1,2298,2298,1
9,到家后,想不到,1,8,c,2,1,1656,1656,1
10,才,梦,0,8,c,2,1,1022,1022,1
11,看到。,领导。,1,8,c,2,1,801,801,1
0,池塘,xxx,0,NA,filler,55,1,600,600,1
1,里,光,1,NA,filler,55,1,718,718,1
2,嬉戏,膀胱,0,NA,filler,55,1,1404,1404,1
3,的,对,0,NA,filler,55,1,436,436,1
4,原本,授予,1,NA,filler,55,1,1682,1682,1
5,有,户,0,NA,filler,55,1,598,598,1
6,很多,改革,0,NA,filler,55,1,504,504,1
7,鸭子，,端详，,1,NA,filler,55,1,1209,1209,1
8,打雷后,玻璃窗,1,NA,filler,55,1,936,936,1
9,便,吗,0,NA,filler,55,1,1537,1537,1
10,不见了,莫须有,0,NA,filler,55,1,1161,1161,1
11,踪影。,黑子。,0,NA,filler,55,1,1008,1008,1
0,落在,xxx,0,NA,filler,52,1,618,618,1
1,地上,缺乏,0,NA,filler,52,1,574,574,1
2,的,最,0,NA,filler,52,1,552,552,1
3,有,付,1,NA,filler,52,1,846,846,1
4,两支,天气,0,NA,filler,52,1,529,529,1
5,铅笔，,耽误，,1,NA,filler,52,1,786,786,1
6,看起来,优越性,1,NA,filler,52,1,1404,1404,1
7,都被,舆论,1,NA,filler,52,1,956,956,1
8,摔坏了。,大城市。,0,NA,filler,52,1,825,825,1
0,商店,xxx,0,8,b,5,1,570,570,1
1,边上,姊妹,1,8,b,5,1,684,684,1
2,觅食,宇宙,1,8,b,5,1,1361,1361,1
3,的,个,0,8,b,5,0,418,3055,1
4,小狗,惋惜,0,8,b,5,1,608,608,1
5,大约,证券,0,8,b,5,1,687,687,1
6,有,你,0,8,b,5,1,433,433,1
7,三四条，,相似度，,0,8,b,5,1,488,488,1
8,环卫工,解剖学,0,8,b,5,1,786,786,1
9,带了,音阶,1,8,b,5,1,1025,1025,1
10,一些,思想,0,8,b,5,1,574,574,1
11,食物,剥削,0,8,b,5,1,568,568,1
12,给,最,0,8,b,5,1,598,598,1
13,它们。,难以。,1,8,b,5,1,698,698,1
0,那起,xxx,0,NA,filler,32,1,655,655,1
1,事故,食物,1,NA,filler,32,1,1198,1198,1
2,引发,翡翠,0,NA,filler,32,1,793,793,1
3,的,把,1,NA,filler,32,1,658,658,1
4,报道,销售,1,NA,filler,32,1,1967,1967,1
5,有,退,1,NA,filler,32,1,657,657,1
6,很多，,准备，,1,NA,filler,32,1,967,967,1
7,当局,偷偷,0,NA,filler,32,1,753,753,1
8,被迫,牙齿,0,NA,filler,32,1,808,808,1
9,召开,宇宙,0,NA,filler,32,1,638,638,1
10,了,把,1,NA,filler,32,1,729,729,1
11,新闻,想到,1,NA,filler,32,1,890,890,1
12,发布会。,适应性。,0,NA,filler,32,1,693,693,1
0,专辑,xxx,0,8,c,6,1,592,592,1
1,上,人,0,8,c,6,1,689,689,1
2,印着,咆哮,1,8,c,6,1,709,709,1
3,的,气,0,8,c,6,1,633,633,1
4,歌词,把握,0,8,c,6,1,543,543,1
5,竟然,蚂蚁,1,8,c,6,1,664,664,1
6,有,则,0,8,c,6,1,547,547,1
7,很多张，,不喜欢，,1,8,c,6,1,1511,1511,1
8,粉丝,膀胱,0,8,c,6,1,1081,1081,1
9,看到后,魅力的,0,8,c,6,1,780,780,1
10,非常得,假想敌,1,8,c,6,1,850,850,1
11,激动。,跑步。,0,8,c,6,1,929,929,1
0,不能,xxx,0,NA,filler,49,1,520,520,1
1,和,楼,0,NA,filler,49,1,814,814,1
2,牛奶,叫喊,0,NA,filler,49,1,2377,2377,1
3,一起,政府,0,NA,filler,49,1,394,394,1
4,服用,黑夜,1,NA,filler,49,1,657,657,1
5,的,都,1,NA,filler,49,1,724,724,1
6,食物,端详,1,NA,filler,49,1,803,803,1
7,还,加,1,NA,filler,49,0,2399,5954,1
8,有,绿,0,NA,filler,49,1,627,627,1
9,柠檬，,凄凉，,1,NA,filler,49,1,747,747,1
10,医生,积累,0,NA,filler,49,1,830,830,1
11,叮嘱道。,即使是。,0,NA,filler,49,1,1338,1338,1
0,当下,xxx,0,NA,filler,60,1,705,705,1
1,流行的,自觉性,1,NA,filler,60,1,2582,2582,1
2,社交软件,面目狰狞,1,NA,filler,60,1,936,936,1
3,不止,世纪,1,NA,filler,60,1,914,914,1
4,有,乐,1,NA,filler,60,1,758,758,1
5,微博，,剥削，,1,NA,filler,60,1,817,817,1
6,小红书,垃圾堆,1,NA,filler,60,1,1335,1335,1
7,现在,必须,1,NA,filler,60,1,1154,1154,1
8,也,与,1,NA,filler,60,1,878,878,1
9,很火。,峡谷。,0,NA,filler,60,1,1106,1106,1
0,黑猪,xxx,0,7,a,16,1,961,961,1
1,旁边,列宁,0,7,a,16,1,1782,1782,1
2,的,而,1,7,a,16,1,728,728,1
3,黄牛,怨恨,0,7,a,16,1,895,895,1
4,看上去,销售额,0,7,a,16,1,633,633,1
5,有,了,1,7,a,16,1,733,733,1
6,三四头，,听懂了，,1,7,a,16,1,819,819,1
7,访客,失掉,0,7,a,16,1,1235,1235,1
8,非常地,氧化了,1,7,a,16,1,820,820,1
9,喜欢,爸爸,0,7,a,16,1,818,818,1
10,这个,由于,1,7,a,16,1,2304,2304,1
11,农场。,剥夺。,0,7,a,16,1,607,607,1
0,这个,xxx,0,NA,filler,56,1,617,617,1
1,小卖部,坐飞机,0,NA,filler,56,1,815,815,1
2,售卖,杆菌,0,NA,filler,56,1,769,769,1
3,的,把,1,NA,filler,56,1,666,666,1
4,不光,驾驶,1,NA,filler,56,0,550,3365,1
5,有,又,0,NA,filler,56,1,511,511,1
6,零食，,渤海，,1,NA,filler,56,1,995,995,1
7,学生,第二,0,NA,filler,56,0,1359,5422,1
8,还会,脂肪,0,NA,filler,56,1,784,784,1
9,在这里,俱乐部,0,NA,filler,56,1,632,632,1
10,购买,皮肤,0,NA,filler,56,1,490,490,1
11,学习,虽然,1,NA,filler,56,1,5800,5800,1
12,用品。,故意。,0,NA,filler,56,1,1160,1160,1
0,石头,xxx,0,7,c,14,1,1050,1050,1
1,砸中,怨恨,0,7,c,14,1,780,780,1
2,的,也,1,7,c,14,1,899,899,1
3,行人,融洽,0,7,c,14,1,586,586,1
4,看起来,推开了,1,7,c,14,1,1822,1822,1
5,有,上,1,7,c,14,1,701,701,1
6,好几块，,总任务，,1,7,c,14,1,1531,1531,1
7,孩子们,静悄悄,1,7,c,14,1,1445,1445,1
8,看到后,俗话说,1,7,c,14,1,980,980,1
9,吓得,铜鼓,0,7,c,14,1,830,830,1
10,不轻。,乔木。,1,7,c,14,1,840,840,1
0,办公楼,xxx,0,NA,filler,25,1,567,567,1
1,下面,马虎,1,NA,filler,25,1,719,719,1
2,的,我,0,NA,filler,25,1,824,824,1
3,西餐厅,想打击,1,NA,filler,25,1,772,772,1
4,最少,喃喃,0,NA,filler,25,1,821,821,1
5,有,水,1,NA,filler,25,1,827,827,1
6,两三个，,不知情，,0,NA,filler,25,1,697,697,1
7,上班族,笑眯眯,0,NA,filler,25,1,1045,1045,1
8,很喜欢,参谋长,1,NA,filler,25,1,799,799,1
9,光顾。,蚂蚁。,1,NA,filler,25,1,801,801,1
0,这里,xxx,0,NA,filler,50,1,576,576,1
1,欺骗,哈哈,0,NA,filler,50,1,1482,1482,1
2,消费者,干什么,0,NA,filler,50,1,733,733,1
3,的,多,0,NA,filler,50,1,793,793,1
4,商品,然后,1,NA,filler,50,1,1234,1234,1
5,有,云,0,NA,filler,50,1,614,614,1
6,减肥霜，,联合国，,1,NA,filler,50,1,2023,2023,1
7,举报,灵魂,0,NA,filler,50,1,1219,1219,1
8,多次,侵略,0,NA,filler,50,1,656,656,1
9,都没有,优越性,1,NA,filler,50,1,624,624,1
10,被下架。,经济学。,1,NA,filler,50,1,895,895,1
0,树枝,xxx,0,8,c,18,1,743,743,1
1,上,她,1,8,c,18,1,730,730,1
2,系着,宾馆,1,8,c,18,1,859,859,1
3,的,但,1,8,c,18,1,756,756,1
4,风铃,羡慕,1,8,c,18,1,799,799,1
5,一共,沸腾,1,8,c,18,1,657,657,1
6,有,去,0,8,c,18,1,625,625,1
7,两根，,睡觉，,0,8,c,18,1,579,579,1
8,租客,抨击,1,8,c,18,1,1258,1258,1
9,准备,改革,0,8,c,18,1,753,753,1
10,把它们,黑猩猩,0,8,c,18,1,711,711,1
11,全部,困难,1,8,c,18,1,728,728,1
12,都剪断。,很理解。,1,8,c,18,1,1130,1130,1
0,电信诈骗,xxx,0,NA,filler,59,1,616,616,1
1,的,哈,0,NA,filler,59,1,615,615,1
2,对象,积极,0,NA,filler,59,1,617,617,1
3,不限于,协奏曲,0,NA,filler,59,1,613,613,1
4,有,又,1,NA,filler,59,1,648,648,1
5,老年人，,还不是，,0,NA,filler,59,1,577,577,1
6,很多,峡谷,0,NA,filler,59,1,600,600,1
7,大学生,有助于,1,NA,filler,59,1,1215,1215,1
8,也,着,0,NA,filler,59,1,649,649,1
9,受骗了。,基础上。,1,NA,filler,59,1,1119,1119,1
0,桌子,xxx,0,8,d,7,1,510,510,1
1,上,几,0,8,d,7,1,511,511,1
2,丢着,房间,0,8,d,7,1,615,615,1
3,的,之,1,8,d,7,1,736,736,1
4,衣服,取缔,1,8,d,7,1,2248,2248,1
5,至少,秩序,0,8,d,7,1,718,718,1
6,有,则,1,8,d,7,1,516,516,1
7,两把，,腼腆，,1,8,d,7,1,983,983,1
8,老人,缺乏,1,8,d,7,1,951,951,1
9,还一直,芭蕾舞,1,8,d,7,1,839,839,1
10,抱怨,棉袄,0,8,d,7,1,859,859,1
11,找不到。,躺下去。,1,8,d,7,1,2150,2150,1
0,校长,xxx,0,NA,filler,29,1,550,550,1
1,惩罚,船舶,0,NA,filler,29,1,703,703,1
2,的,呢,0,NA,filler,29,1,618,618,1
3,学生,认识,0,NA,filler,29,1,377,377,1
4,几乎,细胞,0,NA,filler,29,1,577,577,1
5,有,或,0,NA,filler,29,1,500,500,1
6,七八个，,商业区，,0,NA,filler,29,1,506,506,1
7,班长,抑制,1,NA,filler,29,1,1058,1058,1
8,说,它,1,NA,filler,29,1,1051,1051,1
9,他们,吃鱼,1,NA,filler,29,1,684,684,1
10,逃课,树枝,0,NA,filler,29,1,692,692,1
11,去踢球,流浪汉,0,NA,filler,29,1,856,856,1
12,了。,是。,0,NA,filler,29,1,645,645,1
0,田地,xxx,0,NA,filler,30,1,513,513,1
1,里,大,1,NA,filler,30,0,606,3240,1
2,的,咋,0,NA,filler,30,1,647,647,1
3,农户,诚恳,0,NA,filler,30,1,815,815,1
4,看上去,开汽车,0,NA,filler,30,1,649,649,1
5,有,么,0,NA,filler,30,1,553,553,1
6,很多个，,老朋友，,0,NA,filler,30,1,528,528,1
7,现在,材料,1,NA,filler,30,1,1960,1960,1
8,正是,脑筋,1,NA,filler,30,1,688,688,1
9,耕种,必须,1,NA,filler,30,1,543,543,1
10,的,对,0,NA,filler,30,1,569,569,1
11,季节。,难过。,1,NA,filler,30,1,717,717,1
0,行李,xxx,0,8,a,12,1,794,794,1
1,里,过,0,8,a,12,1,1045,1045,1
2,藏着,舞蹈,0,8,a,12,1,579,579,1
3,的,于,0,8,a,12,1,623,623,1
4,礼物,厌恶,0,8,a,12,1,942,942,1
5,听说,兴趣,1,8,a,12,1,962,962,1
6,有,其,1,8,a,12,1,614,614,1
7,两件，,痉挛，,0,8,a,12,1,591,591,1
8,新郎,纵横,1,8,a,12,1,947,947,1
9,为此,抑制,0,8,a,12,1,752,752,1
10,准备了,胜利后,0,8,a,12,1,688,688,1
11,很久。,暂时。,0,8,a,12,1,631,631,1
0,这个,xxx,0,NA,filler,53,1,522,522,1
1,手机,挪威,0,NA,filler,53,1,902,902,1
2,适配,艺术,0,NA,filler,53,1,854,854,1
3,的,种,0,NA,filler,53,1,580,580,1
4,只有,组织,0,NA,filler,53,1,1430,1430,1
5,这一种,形式上,1,NA,filler,53,1,805,805,1
6,充电线，,平方米，,0,NA,filler,53,1,892,892,1
7,商家,呼啸,1,NA,filler,53,1,881,881,1
8,大概率,葡萄牙,0,NA,filler,53,1,654,654,1
9,不销售了。,绝大多数。,0,NA,filler,53,1,880,880,1
0,游客,xxx,0,8,d,3,1,561,561,1
1,身边,你好,0,8,d,3,1,1855,1855,1
2,停着,措施,1,8,d,3,1,946,946,1
3,的,也,0,8,d,3,1,609,609,1
4,轿车,尴尬,0,8,d,3,1,583,583,1
5,还,十,0,8,d,3,1,1129,1129,1
6,有,位,0,8,d,3,1,366,366,1
7,两只，,腼腆，,0,8,d,3,1,615,615,1
8,其它的,礼遇的,1,8,d,3,1,849,849,1
9,已经,研究,1,8,d,3,1,958,958,1
10,离开了。,越来越。,1,8,d,3,1,1250,1250,1
0,茶室,xxx,0,NA,filler,28,1,693,693,1
1,里,而,1,NA,filler,28,1,888,888,1
2,的,蓝,1,NA,filler,28,1,690,690,1
3,客人,拒绝,1,NA,filler,28,1,703,703,1
