#,Subject,0,Item,0,Condition,0,Word,#,#,#,#,RT,#,#
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,7,0,intro2,NULL,question1,hamis,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,7,0,intro2,NULL,question2,igaz,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,7,0,intro2,NULL,question3,igaz,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,7,0,intro2,NULL,question4,hamis,,,,,,
,,,,,,,,,,,,,,
# 8. Word number.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 9. Word.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 10. Alternative.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 11. Word on (0=left,1=right).,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 12. Correct.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 13. Reading time to first answer.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 14. Sentence.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 15. Total time to correct answer.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,0,"Az,","x-x-x,",0,yes,3244,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",3244
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,1,hogy,hasi,1,yes,1598,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",1598
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,2,a,s,0,yes,5837,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",5837
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,3,f_polg‡rmester,abroncsszoknya,1,yes,1564,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",1564
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,4,megl‡togatta,zšldesszŸrke,1,no,774,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,5,az,h_,1,no,,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,6,œj,r—,1,no,,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,7,"kŽpvisel_t,","beakaszt‡s,",1,no,,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,8,senkit,tankol,1,no,,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,9,nem,r’m,0,no,,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,10,lepett,csal‡d,0,no,,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,11,0,practice,NULL,11,meg.,kšr.,1,no,,"Az, hogy a f_polg‡rmester megl‡togatta az œj kŽpvisel_t, senkit nem lepett meg.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,0,Nyilv‡nval—,x-x-x,0,yes,2078,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",2078
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,1,"volt,","h‡l—,",1,yes,1913,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1913
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,2,hogy,muri,1,yes,1530,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1530
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,3,az,‡s,1,yes,1638,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1638
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,4,id_j‡r‡s,habfŸrd_,1,yes,1684,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1684
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,5,jelentŽs,napkšzis,0,yes,1669,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1669
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,6,ellenŽre,odabœjik,1,yes,1284,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1284
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,7,idŽn,‡gyœ,1,yes,1524,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1524
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,8,kar‡csonykor,jajveszŽkel_,1,yes,1904,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1904
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,9,sem,b‡j,0,yes,1088,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1088
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,10,fog,kšr,0,yes,1259,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1259
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,11,esni,pasa,0,yes,1035,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1035
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,12,a,—,0,yes,1019,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",1019
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,12,0,practice,NULL,13,h—.,’r.,1,yes,880,"Nyilv‡nval— volt, hogy az id_j‡r‡s jelentŽs ellenŽre idŽn kar‡csonykor sem fog esni a h—.",880
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,0,"Az,","x-x-x,",0,yes,1483,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",1483
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,1,hogy,idei,1,no,2008,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,2,a,—,1,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,3,dŽk‡n,borœs,1,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,4,kinevezte,bemenetek,0,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,5,az,_r,1,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,6,adjunktust,blokkj‡val,1,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,7,"tanszŽkvezet_vŽ,","meghat‡roz‡sn‡l,",1,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,8,meglepett,dšntŽssel,0,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,141,0,Filler,33,9,mindenkit.,kŽsz’teni.,1,no,,"Az, hogy a dŽk‡n kinevezte az adjunktust tanszŽkvezet_vŽ, meglepett mindenkit.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,0,Annak,x-x-x,0,yes,1503,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1503
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,1,a,_,0,yes,2068,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",2068
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,2,"lehet_sŽge,","klasszikus,",1,yes,1234,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1234
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,3,hogy,c’m_,1,yes,670,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",670
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,4,a,—,0,yes,1483,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1483
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,5,sz’nŽszn_,l‡that—an,1,yes,2059,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",2059
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,6,a,‡,1,yes,1122,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1122
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,7,darab,amint,1,yes,1081,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1081
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,8,ut‡n,Žvig,0,yes,849,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",849
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,9,autogramokat,felvŽtelŽŽrt,0,yes,1054,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1054
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,10,fog,jog,0,yes,919,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",919
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,11,"osztani,","keretŽn,",0,yes,715,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",715
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,12,felvillanyozta,nagyrendezvŽny,0,yes,1434,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1434
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,13,a,—,1,yes,1094,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1094
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,163,0,Filler,55,14,rajong—t.,nyœjtana.,1,yes,1239,"Annak a lehet_sŽge, hogy a sz’nŽszn_ a darab ut‡n autogramokat fog osztani, felvillanyozta a rajong—t.",1239
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,0,A,x-x-x,0,yes,697,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",697
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,1,"bœv‡r,","‡br‡t,",0,yes,1689,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",1689
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,2,akit,c’m_,0,yes,809,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",809
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,3,az,se,1,yes,933,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",933
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,4,œsz—,red_,0,yes,916,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",916
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,5,megijesztett,nyelvismeret,0,yes,1219,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",1219
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,6,egy,j—t,0,no,2548,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,7,nagy,kšzŽ,1,no,,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,8,"medencŽben,","fŽnyforr‡s,",0,no,,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,9,felh‡bor’totta,csoportos’t‡st,0,no,,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,10,az,ki,1,no,,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,124,0,Expt-D,28,11,œsz—mestert.,gazdas‡g‡v‡.,0,no,,"A bœv‡r, akit az œsz— megijesztett egy nagy medencŽben, felh‡bor’totta az œsz—mestert.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,0,"Az,","x-x-x,",0,yes,598,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",598
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,1,hogy,dŽli,0,yes,1313,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1313
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,2,Rita,Tahi,0,yes,5452,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",5452
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,3,a,_,0,yes,1093,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1093
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,4,le‡raz‡son,odaŽrjenek,1,yes,1395,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1395
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,5,csak,Žvig,0,yes,1014,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1014
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,6,m‡rk‡s,œjfent,1,yes,1638,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1638
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,7,ruh‡kat,el_’r‡s,0,yes,766,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",766
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,8,"vett,","Žven,",1,yes,883,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",883
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,9,teljes,ŸgyfŽl,1,yes,2013,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",2013
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,10,mŽrtŽkben,tal‡lhat—,1,yes,765,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",765
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,11,kisz‡m’that—,felel_ssŽgŽt,1,yes,1339,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",1339
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,147,0,Filler,39,12,volt.,Žven.,1,yes,554,"Az, hogy Rita a le‡raz‡son csak m‡rk‡s ruh‡kat vett, teljes mŽrtŽkben kisz‡m’that— volt.",554
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,0,A,x-x-x,0,yes,1322,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",1322
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,1,"kŽmikus,","terelik,",1,yes,1469,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",1469
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,2,akit,sz—t,1,yes,974,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",974
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,3,a,‡,1,yes,1229,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",1229
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,4,biol—gus,italoz‡s,1,yes,889,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",889
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,5,mŽltatott,kŽsz’t_ik,1,yes,1439,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",1439
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,6,a,_,1,yes,1982,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",1982
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,7,cikkmegjelenŽs,tan’tv‡nyomnak,0,no,3263,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,8,"kapcs‡n,","v‡rhat—,",0,no,,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,9,kapott,sz‡zad,0,no,,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,10,egy,oka,1,no,,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Maze,76,0,Expt-D,16,11,d’jat.,maguk.,0,no,,"A kŽmikus, akit a biol—gus mŽltatott a cikkmegjelenŽs kapcs‡n, kapott egy d’jat.",
,,,,,,,,,,,,,,
